START	END	SITES
---------------------------------------------------------
52	9766	167
10859	26207	110
27495	41042	98
42370	47212	34
48311	53087	30
54395	115870	632
117364	120312	26
121511	147419	144
148659	170776	379
172022	226047	374
227218	234088	45
235413	261774	175
263357	267000	16
268230	268611	4
270068	299451	187
301303	301355	2
302500	310583	58
312000	332596	92
333751	344054	44
345072	351627	34
353135	356384	10
357881	365643	22
366954	367953	7
369469	369469	1
371906	381007	43
382211	402405	77
403436	403436	1
404676	427810	155
428997	442286	91
443404	451811	53
452849	470294	199
471437	477627	31
478733	479148	10
480995	482297	8
483330	484754	7
485783	485845	3
488172	490682	13
491888	504973	75
506699	531099	150
532111	537400	39
538461	543561	24
544610	583460	191
584902	592973	50
594230	595390	15
596464	607829	63
608948	640511	196
641664	643551	8
644853	686277	253
687708	742768	293
743984	749024	56
750473	754269	19
755379	756131	4
757229	757793	2
759213	760299	8
761627	769376	46
770509	773054	11
774379	783625	41
784662	790169	43
791316	819363	286
820377	820377	1
822252	824307	14
825324	826449	9
827489	842712	144
843763	877339	193
878590	887845	40
888942	889373	4
890562	902822	127
904021	918708	80
919885	927548	44
928655	928692	2
929871	958688	161
959743	961843	10
962936	972220	61
973567	981172	38
982388	990058	39
991283	999039	38
1000051	1000051	1
1001076	1007741	63
1008842	1023555	79
1025592	1031862	32
1032984	1033753	6
1034901	1041804	29
1043150	1067119	116
1068551	1070990	14
1072286	1072573	2
1073620	1079224	27
1080507	1085741	20
1087079	1087642	8
1088830	1104072	74
1105443	1117921	75
1119151	1120888	13
1122129	1125555	20
1126567	1136103	59
1137820	1138700	4
1139773	1141207	11
1142306	1155900	84
1157218	1168302	89
1169484	1169557	2
1170906	1177970	53
1179059	1201833	132
1202869	1203534	3
1204913	1204913	1
1205963	1212282	21
1213489	1215002	15
1216163	1230751	91
1231924	1242523	56
1244950	1259878	125
1260936	1272624	69
1274336	1275330	6
1276360	1277803	4
1279047	1289424	45
1290783	1295873	25
1296900	1304529	55
1306196	1309607	16
1310958	1312308	7
1313453	1339915	196
1340920	1342294	15
1343433	1345968	11
1347180	1357623	52
1359040	1369148	47
1370334	1393753	132
1394877	1402320	34
1403346	1437952	219
1439114	1441453	11
1442493	1454148	58
1456770	1460755	15
1461830	1479622	101
1480721	1480882	2
1481895	1485912	31
1487416	1494074	38
1495471	1499423	22
1500883	1509301	42
1510522	1518163	73
1519184	1520213	9
1521336	1521657	2
1523082	1529694	26
1530794	1530794	1
1531887	1567770	182
1569010	1581047	94
1582426	1585538	11
1586613	1594436	24
1595553	1597001	10
1598132	1601784	20
1602786	1610167	27
1611832	1623601	61
1625417	1629033	56
1630335	1632579	6
1634340	1641582	43
1642648	1647348	16
1649090	1651594	17
1653130	1669542	62
1670675	1674954	14
1676285	1685760	68
1687070	1709945	94
1711134	1711929	11
1713228	1719072	38
1720334	1720334	1
1721920	1742157	136
1743362	1746568	34
1747635	1768830	148
1770143	1774706	32
1775849	1790756	106
1791928	1817773	127
1818797	1840364	117
1841477	1844841	19
1846230	1854131	68
1856646	1862647	42
1864839	1866718	12
1867872	1870570	13
1871576	1877736	49
1878956	1879655	3
1881261	1883185	26
1884439	1893138	78
1894138	1898969	31
1900002	1918949	101
1920500	1922151	21
1923222	1928192	17
1929193	1929217	2
1930403	1950052	113
1951096	1959723	56
1960902	1960902	1
1962149	1962149	1
1964243	1980499	96
1982116	2018002	217
2019187	2042520	163
2043673	2048083	22
2049770	2068591	82
2070127	2080863	56
2082094	2090846	61
2091862	2106045	70
2107297	2107451	2
2108806	2112115	16
2113230	2119163	89
2120422	2124954	34
2126178	2136640	53
2137651	2137703	2
2138832	2146332	55
2147430	2153649	20
2155176	2157677	15
2158884	2202239	333
2203980	2214852	60
2215932	2235258	342
2236491	2276032	311
2277235	2295273	123
2296516	2352088	398
2353307	2362284	54
2363289	2376539	62
2377545	2379976	17
2381538	2398474	89
2399705	2414064	86
2415373	2456546	265
2457586	2490371	195
2491400	2494353	25
2496130	2524168	148
2525550	2525604	2
2526959	2537015	75
2538559	2581166	461
2582462	2638325	475
2639502	2659881	126
2660942	2692775	151
2694107	2706444	100
2707803	2720535	77
2721878	2722419	5
2723955	2738744	114
2739765	2774573	175
2775875	2775875	1
2776879	2800062	163
2801229	2805581	19
2807771	2834537	214
2835671	2841994	31
2842998	2869203	188
2871308	2879690	61
2881066	2896026	84
2897163	2902007	15
2903328	2914240	74
2915696	2935109	114
2936129	2942413	26
2943516	2949925	43
2950925	2992385	192
2993448	2996885	20
2998023	3006588	43
3007793	3031159	115
3032441	3071563	255
3072803	3084826	46
3085965	3093239	46
3094503	3094503	1
3095598	3099164	16
3100210	3109925	64
3111344	3117723	24
3118825	3146726	185
3148030	3151902	24
3152930	3166437	184
3168203	3170542	10
3171613	3172305	2
3173765	3182194	58
3183793	3187828	23
3189209	3192708	23
3193762	3193762	1
3194802	3220887	125
3222042	3228722	58
3230105	3233483	17
3234499	3240398	26
3241905	3246686	17
3247900	3262898	91
3264048	3264746	3
3265945	3266110	4
3267240	3270393	21
3271802	3273616	12
3275374	3275440	2
3276506	3285904	48
3287025	3287025	1
3288596	3297308	83
3298388	3314085	116
3315304	3315304	1
3316800	3326486	66
3327528	3349462	102
3350689	3350880	3
3352078	3378490	149
3379772	3381853	7
3383278	3389459	28
3390603	3390964	3
3392155	3393550	11
3394580	3404616	47
3405938	3431194	110
3432313	3433460	5
3434665	3436989	13
3438033	3442500	12
3444911	3449029	27
3450889	3457349	36
3458560	3493043	610
3494208	3537068	339
3538455	3540220	7
3541712	3577098	177
3578917	3696293	839
3697680	3699679	10
3700717	3716372	101
3717520	3727153	52
3728451	3731220	13
3733275	3736828	17
3737877	3748252	92
3749816	3767469	471
3768555	3794571	145
3795614	3797214	10
3798525	3800600	17
3801741	3825523	135
3826676	3838173	50
3839222	3843023	16
3844210	3854017	61
3855116	3869237	43
3870849	3877956	35
3879280	3894692	113
3895795	3896281	2
3897807	3906956	57
3908031	3910468	16
3911571	3912057	2
3913583	3922731	57
3923829	3928255	21
3929408	3943095	76
3944319	3950696	28
3951754	3963384	52
3965038	3972130	45
3973532	3996714	108
3998049	4010195	74
4011240	4021497	42
4022558	4024014	8
4025148	4043971	73
4045452	4053522	48
4054634	4063929	44
4064960	4069596	21
4071015	4091557	146
4092906	4114931	122
4116077	4165777	647
4166848	4174019	69
4175454	4224920	427
4225939	4237694	83
4238731	4296716	469
4297813	4316628	160
4317651	4368658	383
4369706	4379402	101
4380708	4382568	12
4383709	4391258	47
4392383	4406029	52
4407254	4409288	10
4410482	4439269	226
4440386	4453321	104
4454923	4623990	1981
4625125	4673232	319
4674294	4688079	76
4689225	4701939	86
4702960	4737716	210
4739019	4746790	68
4748005	4754102	44
4755667	4769252	95
4770289	4810650	336
4812075	4821560	78
4822758	4842115	152
4843474	4851830	70
4853122	4900045	455
4901385	4916126	146
4917202	4920808	36
4922353	4940692	105
4941934	4983430	221
4984494	5013770	162
5015128	5025956	37
5027068	5080788	291
5081829	5092467	43
5093516	5101701	42
5103212	5103742	5
5104750	5114605	47
5115647	5120464	18
5121568	5130030	35
5131344	5134290	10
5135694	5143881	26
5145275	5147210	10
5148405	5156526	34
5157949	5187707	155
5188857	5189742	6
5191210	5198495	26
5199513	5217115	83
5218482	5241940	108
5242946	5244125	8
5245183	5247517	15
5249162	5280680	140
5281706	5289979	42
5291127	5293060	10
5294786	5309655	65
5311699	5325067	59
5326229	5328146	6
5329609	5331977	16
5333548	5333548	1
5334696	5350731	137
5351815	5384218	192
5385256	5387279	17
5388294	5394723	27
5396316	5400025	19
5401123	5427619	159
5429434	5454382	168
5456537	5467840	84
5469027	5479928	135
5481037	5488029	28
5489127	5507531	192
5508943	5533684	205
5534773	5576005	210
5577170	5585510	31
5586526	5606907	98
5607932	5619757	59
5621868	5667034	223
5668211	5670178	11
5671320	5681880	58
5683011	5697562	70
5698915	5705601	28
5706662	5707574	5
5708626	5710292	13
5711362	5716866	21
5718012	5736462	105
5737645	5931858	1407
5932965	5988068	394
5989221	6001268	62
6002299	6007963	30
6009088	6015723	34
6017132	6036283	110
6037457	6037457	1
6038782	6043466	38
6044776	6049221	24
6050275	6052530	14
6053818	6058060	25
6059063	6059867	6
6061116	6061280	2
6062483	6066719	19
6067733	6076024	66
6077256	6079416	11
6080589	6095692	97
6097001	6129513	245
6130592	6152081	184
6153780	6160610	53
6161659	6183855	119
6184924	6202171	134
6203380	6251269	374
6252560	6258840	37
6260028	6268254	37
6269331	6280729	40
6281790	6289655	54
6290923	6302485	61
6303618	6310533	38
6311867	6312061	2
6313264	6313726	6
6314890	6319185	23
6320456	6343580	138
6345106	6360844	142
6361912	6373503	56
6375247	6379661	12
6381347	6409564	178
6410864	6411148	2
6412454	6434414	186
6435441	6442352	50
6443552	6454646	112
6455758	6648401	3603
6649693	6702991	500
6704037	6704631	7
6706303	6727431	145
6729875	6737578	103
6738923	6746590	39
6747591	6755119	72
6757066	6768916	54
6770445	6790474	121
6791600	6922034	937
6923656	6962517	188
6963904	6996171	283
6997249	7022070	252
7023281	7034623	73
7035760	7041938	29
7043136	7114434	478
7115694	7124377	45
7125537	7140366	105
7141727	7151303	114
7152366	7156704	30
7157989	7163092	31
7164094	7207326	428
7208349	7220749	93
7221760	7222752	6
7223817	7313123	1231
7314308	7318376	35
7319527	8016586	6007
8017719	8165577	1853
8166631	8179034	87
8180127	8187130	27
8188252	8188264	2
8189495	8208557	121
8209627	8268724	1115
8269864	8275009	38
8276820	8277528	4
8278680	8282357	30
8283598	8319228	220
8320302	8654069	6478
8655176	8673409	172
8674523	8714879	434
8715971	8734318	140
8735568	8737714	12
8738847	8753675	116
8754776	8785990	159
8787092	8805889	175
8807100	8831658	357
8833033	8834864	7
8836173	8873522	366
8874533	8952272	439
8953605	8953706	2
8954777	8968513	57
8970657	8980650	60
8981834	8982421	5
8983445	8990342	41
8991416	9052238	396
9053271	9065076	72
9066554	9066735	3
9067795	9081321	70
9082834	9085256	9
9086523	9086523	1
9087809	9203124	926
9204233	9326861	1516
9327875	9381235	513
9383266	9425822	378
9427003	9459929	214
9462453	9484872	146
